PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Warehouse,CD-5,1,52311,96.0,930611.875,48.65,56,1,1,0
Other,CD-7,5,141131,,3085814.0,21.51,7,0,1,0
Large Office,CD-7,5,176532,60.0,5803409.0,40.46,15,0,1,0
Warehouse,CD-6,1,52500,2.0,3989399.0,70.47,43,1,1,0
Warehouse,CD-6,2,57300,55.0,4560492.0,156.67,57,1,1,0
Large Office,CD-7,6,350310,90.0,18102026.0,224.36,100,1,1,0
Large Office,CD-7,55,1400000,92.0,53079164.0,588.9,28,1,1,1
Hotel,CD-7,21,305548,58.0,33729336.0,1510.85,86,1,1,1
Large Office,CD-7,46,1536606,89.0,56606136.0,530.18,27,1,1,0
Large Office,CD-7,10,135918,91.0,6423556.5,193.72,58,0,1,1
Retail Store,CD-7,4,79957,25.0,5252131.0,36.61,102,0,1,0
Large Office,CD-7,29,500000,93.0,18848780.0,131.4,33,0,1,0
Large Office,CD-7,10,132326,72.0,6029020.0,65.2,90,1,1,1
Large Office,CD-7,6,109830,45.0,7335905.5,51.14,32,0,1,0
Hotel,CD-7,19,332067,6.0,37785552.0,1468.5,43,1,1,1
Large Office,CD-7,10,130513,49.0,11651200.0,318.08,106,1,1,1
Small- and Mid-Sized Office,CD-7,8,60660,,2586116.0,18.03,96,0,1,0
Large Office,CD-7,14,137350,89.0,6366084.5,202.99,87,0,1,1
Large Office,CD-7,15,151039,84.0,5446624.0,238.09,87,0,1,1
Large Office,CD-7,30,755000,72.0,52226204.0,793.05,31,1,1,1
Small- and Mid-Sized Office,CD-7,4,63540,72.0,3518459.5,74.83,110,1,1,0
Large Office,CD-7,10,130893,80.0,6962073.0,48.54,89,0,1,0
Mixed Use Property,CD-7,5,79920,,3009463.75,20.98,106,0,1,0
Other,CD-7,6,147852,,9671619.0,185.03,20,1,1,0
Other,CD-7,4,267335,,7273155.5,147.75,20,1,1,0
Large Office,CD-7,56,1605578,97.0,49517704.0,525.78,27,1,1,1
Large Office,CD-7,36,794592,96.0,26689658.0,216.43,36,1,1,0
Large Office,CD-7,21,456304,74.0,19397324.0,135.23,45,0,1,0
Large Office,CD-7,12,115857,89.0,4757299.5,33.17,30,0,1,0
Small- and Mid-Sized Office,CD-7,4,87500,72.0,4549892.0,31.72,17,0,1,0
Large Office,CD-7,11,374405,72.0,13329024.0,92.92,18,0,1,0
Other,CD-7,12,193500,,14436982.0,100.65,31,0,1,0
Large Office,CD-7,11,102846,96.0,5327249.5,281.55,93,0,1,1
Small- and Mid-Sized Office,CD-7,4,52800,83.0,2429021.0,44.48,91,1,1,0
Retail Store,CD-7,8,861702,,17666646.0,328.83,87,1,1,1
Other,CD-7,5,206950,,19295226.0,249.09,17,0,1,1
Other,CD-3,9,46710,,4169431.5,130.69,28,0,1,1
Medical Office,CD-3,3,266000,65.0,13911761.0,201.15,71,1,1,1
Medical Office,CD-3,14,690158,58.0,21156670.0,147.49,24,0,1,0
Mixed Use Property,CD-7,6,378443,100.0,55073120.0,456.22,15,1,1,0
Mixed Use Property,CD-7,6,213834,100.0,75073888.0,530.59,15,1,1,0
Hotel,CD-7,5,109017,34.0,9474745.0,243.66,37,1,1,0
Large Office,CD-7,5,275734,77.0,16373232.0,114.14,35,0,1,0
Warehouse,CD-2,1,123061,59.0,1987934.625,13.86,15,0,1,0
Distribution Center,CD-2,1,59090,45.0,2756214.75,117.11,53,1,1,0
Warehouse,CD-2,1,106000,93.0,763364.5,5.32,53,0,1,0
Large Office,CD-4,3,158600,19.0,18309150.0,236.9,54,1,1,0
Distribution Center,CD-2,1,119661,97.0,775729.1875,5.44,56,1,1,0
Large Office,CD-3,7,139200,81.0,4342597.0,30.27,15,0,1,0
Small- and Mid-Sized Office,CD-7,6,95721,95.0,3063504.5,21.36,32,0,1,0
