PrimaryPropertyType,CouncilDistrictCode,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Agebuilding,NaturalGas_use,Electricity_use,Steam_use
Small- and Mid-Sized Office,CD-2,1,23143,75.0,1139980.625,38.87,33,1,1,0
Small- and Mid-Sized Office,CD-2,1,28800,73.0,2107743.75,60.12,54,1,1,0
Warehouse,CD-2,1,39600,85.0,405050.4063,2.82,64,0,1,0
Warehouse,CD-2,1,39600,91.0,468396.9063,9.25,64,1,1,0
Distribution Center,CD-2,1,41248,37.0,1108310.875,16.5,79,1,1,0
Other,CD-2,1,36400,,1567746.75,46.16,7,1,1,0
Other,CD-1,1,31332,,3573328.25,24.91,96,0,1,0
Worship Facility,CD-1,2,35864,75.0,1228113.5,43.64,68,1,1,0
Worship Facility,CD-2,1,20484,69.0,822636.625,38.38,62,1,1,0
Medical Office,CD-4,4,45264,4.0,1849331.25,12.89,32,0,1,0
Medical Office,CD-4,4,36932,,2824096.75,19.69,29,0,1,0
Other,CD-3,4,45082,,4262316.5,93.5,43,1,1,0
Worship Facility,CD-6,2,41600,58.0,1195165.25,30.99,65,1,1,0
Small- and Mid-Sized Office,CD-4,2,34110,31.0,2563985.5,17.87,56,0,1,0
Warehouse,CD-2,1,23750,,522972.1875,3.65,46,0,1,0
Warehouse,CD-2,1,43390,87.0,533742.8125,3.72,46,0,1,0
Warehouse,CD-2,1,35400,84.0,419978.6875,9.29,57,1,1,0
Distribution Center,CD-2,1,28144,19.0,858701.0,8.22,50,1,1,0
Warehouse,CD-2,3,71283,41.0,2491238.25,43.17,100,1,1,0
Warehouse,CD-2,1,23792,,2852102.75,19.88,27,0,1,0
Small- and Mid-Sized Office,CD-2,2,47368,99.0,1042652.625,7.27,37,0,1,0
Mixed Use Property,CD-2,1,46183,,1890502.5,27.92,85,1,1,0
Small- and Mid-Sized Office,CD-3,5,72613,84.0,2602213.75,41.96,32,1,1,0
Medical Office,CD-2,2,38352,36.0,2108861.75,14.7,26,0,1,0
Mixed Use Property,CD-2,1,28425,,2133797.75,57.25,21,1,1,0
Other,CD-5,3,35115,,1922953.25,31.94,7,1,1,0
Mixed Use Property,CD-5,1,66704,,600516.875,19.77,44,1,1,0
Warehouse,CD-5,1,25658,,1063960.125,18.87,47,1,1,0
Small- and Mid-Sized Office,CD-3,2,36000,95.0,1046187.625,18.04,109,1,1,0
Mixed Use Property,CD-3,1,36000,59.0,1162163.125,26.52,103,1,1,0
Warehouse,CD-3,2,43200,38.0,1929851.5,49.18,101,1,1,0
Small- and Mid-Sized Office,CD-2,4,53840,71.0,2912454.75,46.85,103,1,1,0
Retail Store,CD-2,1,43794,88.0,1164537.75,23.5,41,1,1,0
Warehouse,CD-2,1,48280,18.0,2701833.75,78.57,48,1,1,0
Distribution Center,CD-2,1,36040,,363808.1875,7.74,62,1,1,0
Supermarket / Grocery Store,CD-4,1,32822,42.0,8839812.0,219.93,51,1,1,0
Worship Facility,CD-4,2,20385,65.0,809291.8125,34.04,66,1,1,0
Worship Facility,CD-4,1,24295,53.0,216115.0,1.51,70,0,1,0
Small- and Mid-Sized Office,CD-4,2,20317,83.0,620994.3125,4.33,49,0,1,0
Supermarket / Grocery Store,CD-4,1,24377,6.0,9851260.0,260.32,43,1,1,0
Other,CD-5,1,33392,,2786648.75,19.43,30,0,1,0
Supermarket / Grocery Store,CD-5,1,45155,6.0,6674179.5,158.63,30,1,1,0
Warehouse,CD-1,1,32000,3.0,2186148.5,41.77,50,1,1,0
Warehouse,CD-1,1,44000,15.0,4302455.5,175.53,46,1,1,0
Warehouse,CD-1,1,36000,44.0,2771820.5,124.4,43,1,1,0
Warehouse,CD-1,1,31360,,1356972.25,43.18,37,1,1,0
Warehouse,CD-1,1,33320,,2339234.0,64.75,37,1,1,0
Warehouse,CD-1,1,48020,71.0,2373568.25,59.14,37,1,1,0
Warehouse,CD-1,1,27420,55.0,1176342.25,39.05,37,1,1,0
K-12 School,CD-5,2,43645,71.0,2053956.375,85.15,67,1,1,0
Retail Store,CD-5,1,26853,68.0,1399062.75,21.46,64,1,1,0
Other,CD-2,4,44775,,950695.625,29.88,107,1,1,0
Other,CD-2,1,27760,,2833624.5,112.82,100,1,1,0
Other,CD-2,1,20975,,347437.6875,6.46,79,1,1,0
Other,CD-2,1,26075,,1608508.75,17.6,98,1,1,0
Warehouse,CD-2,1,29394,60.0,1486681.75,26.27,24,1,1,0
Warehouse,CD-2,2,20400,69.0,438557.0,12.17,90,1,1,0
Small- and Mid-Sized Office,CD-2,1,20460,16.0,903541.875,6.3,90,0,1,0
Self-Storage Facility,CD-2,2,25821,,209698.7031,1.46,91,0,1,0
Refrigerated Warehouse,CD-2,2,21870,45.0,1074350.375,7.49,61,0,1,0
Warehouse,CD-2,1,51664,,3528086.75,66.77,28,1,1,0
Medical Office,CD-1,1,43615,89.0,3133849.5,106.35,46,1,1,0
Small- and Mid-Sized Office,CD-1,3,36879,26.0,1144267.5,7.98,46,0,1,0
Other,CD-1,2,28531,,3494929.5,92.7,14,1,1,0
Warehouse,CD-1,2,36600,80.0,308400.4063,2.15,34,0,1,0
Mixed Use Property,CD-1,5,35176,,1011965.375,7.05,12,0,1,0
University,CD-4,2,41293,,2839882.25,61.68,76,1,1,0
Warehouse,CD-2,1,48890,49.0,2100216.5,61.6,75,1,1,0
Small- and Mid-Sized Office,CD-2,3,43473,3.0,4416909.5,30.79,16,0,1,0
Retail Store,CD-1,1,40265,19.0,3740373.75,35.48,26,1,1,0
Retail Store,CD-1,1,26208,79.0,1608884.25,37.61,11,1,1,0
Other,CD-1,2,27227,,8054334.0,286.89,41,1,1,0
Mixed Use Property,CD-6,1,42172,,3275779.25,152.14,90,1,1,0
Small- and Mid-Sized Office,CD-2,5,32250,92.0,796042.375,11.44,106,1,1,0
Retail Store,CD-6,1,51000,95.0,1298039.875,14.17,63,1,1,0
Mixed Use Property,CD-2,1,27000,,229856.4063,1.6,100,0,1,0
Other,CD-2,2,20747,,1001964.0,17.45,81,1,1,0
Warehouse,CD-2,2,40800,,817255.875,27.83,88,1,1,0
Small- and Mid-Sized Office,CD-2,2,20150,80.0,576174.125,4.02,96,0,1,0
Small- and Mid-Sized Office,CD-2,7,36000,40.0,1682454.875,11.73,107,0,1,0
Warehouse,CD-2,2,41276,,2502081.0,96.62,78,1,1,0
Refrigerated Warehouse,CD-2,2,24430,,1232822.875,23.62,79,1,1,0
Small- and Mid-Sized Office,CD-2,1,22580,90.0,928584.875,9.65,89,1,1,0
Warehouse,CD-3,1,20000,18.0,743528.125,33.52,90,1,1,0
Warehouse,CD-3,1,42000,,2070005.625,82.07,62,1,1,0
Self-Storage Facility,CD-3,1,24248,,111969.7031,0.79,54,1,1,0
Senior Care Community,CD-5,6,244500,100.0,11019641.0,292.8,7,1,1,0
Warehouse,CD-2,1,24617,,106918.0,0.75,84,0,1,0
Other,CD-2,3,127065,,3245111.5,22.62,7,0,1,0
Retail Store,CD-2,1,37247,69.0,1748644.5,58.36,52,1,1,0
Retail Store,CD-6,1,25384,11.0,3027867.5,77.23,23,1,1,0
Small- and Mid-Sized Office,CD-2,3,49052,96.0,1441445.625,10.05,106,0,1,0
Warehouse,CD-2,2,52110,34.0,586589.1875,25.15,116,1,1,0
Small- and Mid-Sized Office,CD-2,2,39036,,1528295.75,39.25,79,1,1,0
Small- and Mid-Sized Office,CD-2,1,26310,96.0,771512.6875,14.99,93,1,1,0
Retail Store,CD-2,1,37883,88.0,12434593.0,413.1,50,1,1,0
K-12 School,CD-1,3,29874,95.0,1274049.75,54.27,54,1,1,0
Worship Facility,CD-7,1,20140,35.0,992794.6875,47.08,51,1,1,0
Self-Storage Facility,CD-6,2,71874,,1242811.75,44.97,26,1,1,0
Small- and Mid-Sized Office,CD-3,2,39953,93.0,1508561.875,28.05,45,1,1,0
Retail Store,CD-3,2,21200,15.0,1676426.5,11.69,18,0,1,0
Supermarket / Grocery Store,CD-3,1,30630,27.0,6058494.0,42.24,36,0,1,0
Retail Store,CD-3,2,23421,25.0,1896626.375,13.22,36,0,1,0
Worship Facility,CD-6,2,24120,66.0,893053.1875,31.54,88,1,1,0
Worship Facility,CD-6,3,35736,88.0,1148202.25,51.15,87,1,1,0
Warehouse,CD-2,1,51050,10.0,1206165.75,27.75,75,1,1,0
Retail Store,CD-2,2,21900,40.0,1302192.875,42.66,62,1,1,0
Distribution Center,CD-2,1,16300,100.0,150167.7969,1.6,64,1,1,0
Warehouse,CD-2,1,33462,1.0,1386445.375,9.67,52,0,1,0
Mixed Use Property,CD-2,1,35310,,1331469.75,44.68,64,1,1,0
Other,CD-2,3,36140,,4653535.0,32.44,54,0,1,0
Other,CD-3,2,47963,,8163413.0,298.91,25,1,1,0
Warehouse,CD-2,1,23903,65.0,415364.5938,14.37,86,1,1,0
Self-Storage Facility,CD-4,3,22522,,561473.875,23.52,69,1,1,0
Self-Storage Facility,CD-4,4,38959,,905750.375,23.84,20,1,1,0
Warehouse,CD-3,2,25955,,1218112.0,8.49,88,0,1,0
Worship Facility,CD-5,2,21936,96.0,608755.375,28.78,65,1,1,0
Other,CD-5,1,25406,,2442220.0,41.96,56,1,1,0
Small- and Mid-Sized Office,CD-2,2,23250,55.0,904236.0,6.3,49,0,1,0
Warehouse,CD-2,1,30000,32.0,2794837.0,120.72,56,1,1,0
Warehouse,CD-2,1,45036,,1791697.75,49.53,54,1,1,0
Mixed Use Property,CD-7,39,1074552,65.0,26416770.0,449.59,7,1,1,0
University,CD-7,2,122679,,16378152.0,588.25,57,1,1,0
Small- and Mid-Sized Office,CD-5,4,23022,78.0,1027230.875,14.64,36,1,1,0
Refrigerated Warehouse,CD-2,1,27263,,2470642.0,17.22,49,0,1,0
Warehouse,CD-2,1,31569,12.0,3064039.5,125.59,54,1,1,0
Warehouse,CD-2,1,22509,57.0,177812.7969,1.24,60,0,1,0
Warehouse,CD-2,1,39984,75.0,1073156.375,36.82,60,1,1,0
Worship Facility,CD-3,1,26440,91.0,719905.1875,27.93,110,1,1,0
Self-Storage Facility,CD-3,2,28800,,1143826.625,29.44,60,1,1,0
K-12 School,CD-3,2,28500,92.0,1162561.125,28.64,7,1,1,0
Restaurant,CD-3,2,26519,,3717064.0,97.27,38,1,1,0
Mixed Use Property,CD-3,2,34639,,15480681.0,515.71,28,1,1,0
Other,CD-7,2,26300,,3537841.5,116.94,95,1,1,0
Restaurant,CD-7,2,34072,,6584966.5,226.81,54,1,1,0
Small- and Mid-Sized Office,CD-7,3,23355,77.0,840549.375,5.86,67,0,1,0
Small- and Mid-Sized Office,CD-7,4,30840,30.0,3542708.5,101.21,51,1,1,0
Other,CD-4,1,20332,,392683.6875,10.99,70,1,1,0
Worship Facility,CD-3,1,21850,100.0,317794.4063,13.09,116,1,1,0
Mixed Use Property,CD-4,4,32282,,1391714.25,34.62,19,1,1,0
Large Office,CD-7,13,307557,,9512829.0,66.32,33,0,1,0
Self-Storage Facility,CD-7,2,28309,,430308.9063,11.85,98,1,1,0
Hotel,CD-7,4,45500,77.0,2799595.0,122.0,102,1,1,1
Small- and Mid-Sized Office,CD-7,5,38376,,2058532.875,14.35,116,0,1,0
Small- and Mid-Sized Office,CD-7,4,42804,,1544501.75,46.53,116,1,1,0
Mixed Use Property,CD-7,5,57600,,6983736.0,223.36,11,1,1,0
Small- and Mid-Sized Office,CD-7,4,33300,,1287497.375,18.76,116,1,1,0
Other,CD-7,3,22200,,188745.7031,7.05,116,1,1,0
Warehouse,CD-7,2,29498,,3768900.5,50.05,48,1,1,0
Warehouse,CD-4,1,23050,27.0,466672.6875,3.25,78,0,1,0
Small- and Mid-Sized Office,CD-4,4,48350,45.0,3168131.0,22.09,8,0,1,0
Retail Store,CD-4,1,46059,82.0,1582655.875,20.66,86,1,1,0
Medical Office,CD-4,2,23595,72.0,817409.625,6.53,46,1,1,0
Small- and Mid-Sized Office,CD-7,3,28142,96.0,847097.8125,34.08,116,1,1,1
Small- and Mid-Sized Office,CD-7,3,28760,,2615973.5,124.59,116,1,1,1
Small- and Mid-Sized Office,CD-7,4,39030,99.0,713326.875,13.69,114,1,1,0
Small- and Mid-Sized Office,CD-7,3,47215,58.0,2092696.0,63.81,107,1,1,0
Other,CD-3,2,61580,,4199443.0,69.53,90,1,1,0
Small- and Mid-Sized Office,CD-3,3,30720,,1288669.5,25.53,99,1,1,0
Mixed Use Property,CD-3,2,20640,,412562.4063,2.88,100,0,1,0
Mixed Use Property,CD-3,2,34914,,1333289.625,9.29,104,0,1,0
Small- and Mid-Sized Office,CD-3,3,20897,,964923.8125,17.79,110,1,1,0
Retail Store,CD-3,2,36940,100.0,336745.4063,2.35,100,0,1,0
Small- and Mid-Sized Office,CD-3,3,22866,,1153690.125,20.76,103,1,1,0
Retail Store,CD-3,1,30240,78.0,1264626.875,18.19,96,1,1,0
Other,CD-4,2,28586,,5078204.0,35.4,54,0,1,0
Hotel,CD-2,3,28800,,4644346.0,190.45,108,1,1,0
Restaurant,CD-2,3,28800,,899924.1875,29.21,103,1,1,0
Small- and Mid-Sized Office,CD-2,3,35202,2.0,3605755.5,25.14,37,0,1,0
Senior Care Community,CD-7,6,95117,1.0,7202141.5,183.79,47,1,1,0
Worship Facility,CD-3,2,24600,69.0,331059.5,5.66,106,1,1,0
Worship Facility,CD-3,1,48850,,1063480.5,65.05,116,1,1,1
Hospital,CD-1,3,54863,100.0,2037720.625,14.21,55,0,1,0
Warehouse,CD-2,1,25000,,1989103.875,65.89,52,1,1,0
Warehouse,CD-2,1,25000,,287132.5,8.61,56,1,1,0
Other,CD-2,1,22622,,774075.6875,26.56,89,1,1,0
Small- and Mid-Sized Office,CD-3,3,27544,94.0,1031667.5,17.41,99,1,1,0
Small- and Mid-Sized Office,CD-7,7,47415,,1478979.25,10.31,27,0,1,0
Other,CD-7,3,22960,,2266983.0,95.38,55,1,1,0
Supermarket / Grocery Store,CD-3,1,44739,17.0,14585813.0,393.07,18,1,1,0
Mixed Use Property,CD-4,1,22778,,2470566.0,120.86,68,1,1,0
Worship Facility,CD-6,2,21562,20.0,866806.0,37.28,60,1,1,0
Other,CD-3,1,25753,,1378130.25,62.51,57,1,1,0
Other,CD-3,3,71280,,22767828.0,861.85,88,1,1,0
Senior Care Community,CD-3,16,153312,51.0,20628680.0,792.6,53,1,1,0
Mixed Use Property,CD-7,19,1206670,87.0,27684480.0,393.29,7,1,1,0
Worship Facility,CD-2,1,24200,73.0,826488.6875,22.38,48,1,1,0
Residence Hall,CD-7,4,23513,,1740568.25,49.79,35,1,1,0
Self-Storage Facility,CD-1,3,66610,,640377.0,18.81,22,1,1,0
Other,CD-2,1,36000,,3646053.75,58.79,66,1,1,0
K-12 School,CD-5,2,23222,62.0,1219863.125,55.06,78,1,1,0
Mixed Use Property,CD-3,2,24476,,2662054.25,91.69,92,1,1,0
Retail Store,CD-3,2,24750,,782343.8125,28.07,106,1,1,0
K-12 School,CD-3,3,60000,52.0,3625407.5,121.63,112,1,1,0
Other,CD-3,2,46560,,690557.6875,17.31,62,1,1,0
Other,CD-7,3,30408,61.0,1440554.25,10.04,36,0,1,0
Small- and Mid-Sized Office,CD-7,3,30109,89.0,1465795.75,34.03,96,1,1,0
Small- and Mid-Sized Office,CD-7,2,25481,92.0,917100.3125,38.59,56,1,1,0
Senior Care Community,CD-2,1,141297,76.0,19423344.0,717.93,49,1,1,0
Small- and Mid-Sized Office,CD-7,2,27788,73.0,2119806.25,35.99,104,1,1,0
Hotel,CD-5,4,41704,73.0,1943899.25,58.52,26,1,1,0
Warehouse,CD-2,2,22324,53.0,588856.125,22.33,75,1,1,0
Other,CD-2,2,31360,,1725108.25,39.65,70,1,1,0
Mixed Use Property,CD-2,1,30496,,1992158.25,46.01,69,1,1,0
Small- and Mid-Sized Office,CD-3,3,27600,84.0,1072151.375,12.57,94,1,1,0
Senior Care Community,CD-6,2,55974,98.0,6135173.0,203.21,55,1,1,0
Senior Care Community,CD-5,1,22583,95.0,1981360.0,70.92,62,1,1,0
Small- and Mid-Sized Office,CD-4,3,31686,35.0,2305643.5,16.07,19,0,1,0
Small- and Mid-Sized Office,CD-4,3,26694,92.0,720170.6875,5.02,35,0,1,0
Warehouse,CD-5,1,29400,69.0,227509.5,1.59,44,0,1,0
Hotel,CD-2,3,22452,85.0,1244150.0,41.88,24,1,1,0
Other,CD-4,2,25767,22.0,1581352.75,11.02,104,0,1,0
Retail Store,CD-4,4,33910,75.0,1822834.25,38.21,63,1,1,0
Worship Facility,CD-4,2,78401,,2462408.25,87.41,89,1,1,0
Warehouse,CD-4,2,78716,38.0,4103800.75,48.13,37,1,1,0
K-12 School,CD-4,2,33300,92.0,1594733.625,69.2,106,1,1,0
Supermarket / Grocery Store,CD-4,1,28808,29.0,9232576.0,226.73,59,1,1,0
Small- and Mid-Sized Office,CD-4,1,27966,58.0,1100499.75,7.67,59,0,1,0
Supermarket / Grocery Store,CD-4,1,26226,37.0,7588060.5,156.18,66,1,1,0
Mixed Use Property,CD-4,2,34948,17.0,1159807.125,8.09,40,0,1,0
Small- and Mid-Sized Office,CD-4,3,37639,,6197824.5,43.21,18,0,1,0
Other,CD-7,1,21420,,810636.875,9.72,116,1,1,0
Small- and Mid-Sized Office,CD-7,1,20880,94.0,683274.0,4.76,116,0,1,0
Mixed Use Property,CD-7,3,26000,,1063035.875,18.62,50,1,1,0
Small- and Mid-Sized Office,CD-7,3,38675,,1938776.75,43.91,116,1,1,0
Small- and Mid-Sized Office,CD-7,4,49951,,5134446.0,185.33,87,1,1,1
Medical Office,CD-2,2,25880,8.0,1941728.75,19.81,6,1,1,0
Worship Facility,CD-4,3,41013,,1080821.0,37.43,89,1,1,0
Other,CD-4,2,21075,,1581036.75,53.88,12,1,1,0
Worship Facility,CD-4,3,46485,83.0,1544995.75,47.03,66,1,1,0
Small- and Mid-Sized Office,CD-6,4,56896,96.0,1402048.5,28.46,51,1,1,0
Worship Facility,CD-6,2,27500,60.0,577123.125,14.79,38,1,1,0
Small- and Mid-Sized Office,CD-2,2,36630,90.0,541943.3125,3.78,86,0,1,0
Small- and Mid-Sized Office,CD-7,3,26830,,2099386.75,60.93,116,1,1,0
Small- and Mid-Sized Office,CD-7,5,41920,95.0,1103594.75,7.69,110,0,1,0
Small- and Mid-Sized Office,CD-7,5,36879,92.0,1537570.25,26.94,111,1,1,0
Other,CD-7,6,29820,,1601955.625,35.72,112,1,1,0
Small- and Mid-Sized Office,CD-7,2,33640,70.0,1078535.75,7.52,111,0,1,0
Warehouse,CD-7,4,43484,18.0,1567040.75,10.92,110,0,1,0
Mixed Use Property,CD-2,3,22480,,981009.125,6.84,116,0,1,0
Hotel,CD-2,4,33018,49.0,4857581.5,173.67,91,1,1,0
Small- and Mid-Sized Office,CD-2,2,26510,91.0,987063.6875,11.18,46,1,1,0
Warehouse,CD-4,1,40028,80.0,942415.1875,6.76,78,1,1,0
Small- and Mid-Sized Office,CD-4,3,44510,23.0,2188051.25,15.25,9,0,1,0
Worship Facility,CD-5,1,21624,90.0,666687.5,20.96,62,1,1,0
Small- and Mid-Sized Office,CD-2,3,21600,,1539176.625,32.42,23,1,1,0
Mixed Use Property,CD-2,3,20620,,747456.875,20.78,107,1,1,0
Hotel,CD-2,5,40552,99.0,1200180.875,53.25,106,1,1,0
Small- and Mid-Sized Office,CD-2,3,31432,,1439572.375,10.04,107,0,1,0
Retail Store,CD-2,2,24550,100.0,977230.3125,6.73,99,1,1,0
Other,CD-3,3,25864,,1028277.313,34.61,108,1,1,0
Other,CD-4,3,20686,,1207504.0,42.71,92,1,1,0
Residence Hall,CD-4,3,22124,82.0,637685.0,4.45,87,0,1,0
Residence Hall,CD-4,3,27487,82.0,1594504.875,65.95,90,1,1,0
Residence Hall,CD-4,4,23616,55.0,1656420.25,53.65,90,1,1,0
Residence Hall,CD-4,3,33448,78.0,998633.5,6.96,40,0,1,0
Mixed Use Property,CD-2,2,29508,,2217620.0,81.24,11,1,1,0
Senior Care Community,CD-3,2,74840,48.0,8268496.5,249.46,29,1,1,0
Other,CD-3,3,20992,,2473302.0,104.74,103,1,1,0
K-12 School,CD-3,2,22344,40.0,1522596.75,55.23,91,1,1,0
University,CD-3,3,31900,,2466100.0,96.2,95,1,1,0
Other,CD-6,2,29417,,1631479.125,56.25,66,1,1,0
Mixed Use Property,CD-2,3,49299,,4729846.5,9.23,107,0,1,0
Supermarket / Grocery Store,CD-1,1,31841,,13140574.0,404.21,19,1,1,0
Mixed Use Property,CD-3,2,21036,,2735811.5,78.36,28,1,1,0
Mixed Use Property,CD-4,2,32928,9.0,5652231.0,39.4,17,0,1,0
Warehouse,CD-2,1,44476,33.0,1368120.5,29.7,56,1,1,0
Small- and Mid-Sized Office,CD-2,1,35017,66.0,1295485.25,27.06,47,1,1,0
Residence Hall,CD-4,3,29084,66.0,1632498.625,60.83,66,1,1,0
Worship Facility,CD-3,2,22952,98.0,470666.6875,19.28,53,1,1,0
Warehouse,CD-2,1,21040,43.0,592088.125,19.14,40,1,1,0
Warehouse,CD-2,2,28032,52.0,1321065.0,46.61,65,1,1,0
Distribution Center,CD-2,1,25620,82.0,550324.1875,20.46,42,1,1,0
Warehouse,CD-2,3,33238,14.0,1632472.0,11.38,24,0,1,0
K-12 School,CD-3,4,27800,8.0,1181428.75,38.36,104,1,1,0
Large Office,CD-7,6,706176,82.0,13270687.0,92.52,16,0,1,0
Supermarket / Grocery Store,CD-1,1,33706,22.0,8687690.0,206.33,18,1,1,0
Mixed Use Property,CD-7,2,37600,,2171751.5,93.55,55,1,1,0
Other,CD-3,3,33708,,786324.0,19.61,104,1,1,1
Other,CD-5,2,47237,,5981430.0,41.7,68,0,1,0
Supermarket / Grocery Store,CD-4,1,76585,18.0,13906080.0,364.27,19,1,1,0
Worship Facility,CD-4,3,26373,75.0,964236.0,38.18,78,1,1,0
Small- and Mid-Sized Office,CD-3,2,75868,,3605749.75,25.14,60,0,1,0
Mixed Use Property,CD-3,2,21656,,1607972.25,51.89,69,1,1,0
Distribution Center,CD-7,3,23040,,421430.0,2.94,95,0,1,0
Other,CD-7,2,36771,,5447076.5,37.97,60,0,1,0
Warehouse,CD-1,1,24024,,375773.5938,2.62,39,0,1,0
Warehouse,CD-1,1,42420,34.0,965425.1875,29.39,63,1,1,0
Distribution Center,CD-1,1,36982,,374753.8125,6.88,37,1,1,0
Warehouse,CD-1,2,23400,,439266.9063,3.06,52,0,1,0
Other,CD-7,2,30720,,1683064.25,67.15,68,1,1,0
Warehouse,CD-2,1,23232,,127374.0,0.89,44,0,1,0
Warehouse,CD-2,1,35046,100.0,1063269.125,17.65,42,1,1,0
Refrigerated Warehouse,CD-2,1,25577,,895784.6875,14.19,55,1,1,0
Warehouse,CD-2,1,43380,89.0,405062.0,2.82,42,0,1,0
Small- and Mid-Sized Office,CD-4,3,20410,8.0,2720238.25,77.84,21,1,1,0
Small- and Mid-Sized Office,CD-5,3,24696,87.0,624125.625,4.35,33,0,1,0
Worship Facility,CD-5,1,24955,47.0,689803.0,21.87,14,1,1,0
Other,CD-3,3,34074,,8521989.0,286.33,25,1,1,0
Hotel,CD-7,10,392552,23.0,17457560.0,423.57,10,1,1,0
Worship Facility,CD-5,2,76475,,1765813.625,67.33,55,1,1,0
K-12 School,CD-5,2,32961,86.0,1573155.0,62.94,28,1,1,0
Other,CD-6,1,27376,,1082920.125,26.67,12,1,1,0
Other,CD-3,3,25200,,1242666.25,53.02,105,1,1,0
Supermarket / Grocery Store,CD-5,1,44755,56.0,11521140.0,338.58,20,1,1,0
Other,CD-3,2,22320,,209644.9063,4.8,109,1,1,0
Mixed Use Property,CD-3,3,24000,,932083.5,9.09,104,1,1,0
Small- and Mid-Sized Office,CD-3,3,23422,65.0,2701872.0,128.07,96,1,1,0
Other,CD-3,2,38879,,3371659.75,28.79,41,1,1,0
Mixed Use Property,CD-3,5,53034,93.0,3392129.0,83.65,18,1,1,0
Warehouse,CD-3,2,23040,99.0,79711.79688,0.87,96,1,1,0
Warehouse,CD-3,2,61880,66.0,595936.5,4.15,58,0,1,0
Small- and Mid-Sized Office,CD-3,2,27938,97.0,1027394.313,7.31,91,1,1,0
Other,CD-4,2,21600,,1623657.0,11.32,92,0,1,0
Other,CD-4,3,27908,,2028125.625,63.22,87,1,1,0
Retail Store,CD-2,3,54969,67.0,3724098.25,39.31,16,1,1,0
K-12 School,CD-3,2,36825,,1755072.75,51.14,65,1,1,0
Small- and Mid-Sized Office,CD-3,3,25834,73.0,2076289.625,54.02,58,1,1,0
Worship Facility,CD-3,1,37700,38.0,3481727.5,150.23,87,1,1,0
Mixed Use Property,CD-3,6,97229,100.0,1021754.688,7.12,12,0,1,0
Small- and Mid-Sized Office,CD-5,3,25111,77.0,954352.6875,24.97,34,1,1,0
Worship Facility,CD-7,2,31805,10.0,1641667.0,68.39,63,1,1,0
K-12 School,CD-7,1,20811,95.0,1267348.5,43.97,63,1,1,0
Warehouse,CD-2,2,22058,1.0,1987334.75,66.43,49,1,1,0
Refrigerated Warehouse,CD-2,1,22890,,10005787.0,119.76,46,1,1,0
Other,CD-2,5,36000,,1111293.75,43.04,109,1,1,0
Distribution Center,CD-2,1,28320,1.0,4236396.5,67.96,45,1,1,0
Worship Facility,CD-4,1,29079,78.0,861643.6875,22.18,61,1,1,0
Small- and Mid-Sized Office,CD-3,3,28848,82.0,726917.5,5.07,34,0,1,0
Small- and Mid-Sized Office,CD-6,2,20535,7.0,1835804.0,38.71,28,1,1,0
Laboratory,CD-7,2,43025,,9393108.0,255.97,31,1,1,0
Warehouse,CD-2,1,30800,65.0,485971.0,3.39,51,0,1,0
Mixed Use Property,CD-3,3,22168,,1784385.25,49.44,116,1,1,0
Warehouse,CD-2,1,37400,73.0,924192.6875,7.8,94,1,1,0
Large Office,CD-2,11,268130,88.0,15026352.0,106.86,16,1,1,0
Small- and Mid-Sized Office,CD-2,11,68452,79.0,3782378.25,26.37,16,0,1,0
Large Office,CD-2,11,273185,88.0,14709151.0,102.54,16,0,1,0
K-12 School,CD-4,3,97500,97.0,3736960.0,156.45,92,1,1,0
Small- and Mid-Sized Office,CD-7,5,54015,75.0,3020001.5,21.05,34,0,1,0
Restaurant,CD-7,13,42000,,7798464.0,273.91,31,1,1,1
Large Office,CD-7,24,119701,67.0,8382140.5,58.44,34,0,1,0
Other,CD-5,1,24697,,1295685.75,29.18,51,1,1,0
University,CD-3,1,57468,,3543985.5,89.8,3,1,1,0
University,CD-3,5,84000,,12184124.0,441.94,10,1,1,0
Retail Store,CD-7,3,103000,89.0,5214621.5,81.18,25,1,1,0
Supermarket / Grocery Store,CD-1,1,37864,61.0,8025696.0,176.75,8,1,1,0
Supermarket / Grocery Store,CD-3,2,66497,84.0,9290214.0,72.02,66,1,1,0
Retail Store,CD-7,4,34010,,3560614.25,24.82,10,0,1,0
Supermarket / Grocery Store,CD-7,4,45980,79.0,8305255.0,193.36,10,1,1,0
Retail Store,CD-3,3,45743,88.0,5313217.0,83.45,20,1,1,0
Other,CD-3,1,45000,,3505497.0,137.66,25,1,1,0
Other,CD-2,6,333698,,13730204.0,295.42,17,1,1,0
Warehouse,CD-2,4,72859,55.0,1498457.875,12.43,112,1,1,0
Mixed Use Property,CD-2,3,21947,,1554599.25,37.83,12,1,1,0
Warehouse,CD-4,0,384772,69.0,15206762.0,391.7,76,1,1,0
Medical Office,CD-4,0,30287,32.0,2193115.0,32.72,56,1,1,0
Small- and Mid-Sized Office,CD-4,0,21931,32.0,3947209.25,145.11,56,1,1,0
Small- and Mid-Sized Office,CD-7,6,73102,84.0,4307238.5,30.03,31,0,1,0
Mixed Use Property,CD-3,2,140823,,2762846.0,28.85,100,1,1,0
